"","time","AktuellInfizierte","KumuliertNurVierteWelle","Refdatum","AnzahlFall"
"1",1,685,172,2021-10-13,172
"2",2,872,364,2021-10-14,192
"3",3,1085,590,2021-10-15,226
"4",4,1251,765,2021-10-16,175
"5",5,1409,941,2021-10-17,176
"6",6,1615,1177,2021-10-18,236
"7",7,1777,1399,2021-10-19,222
"8",8,1958,1641,2021-10-20,242
"9",9,2024,1841,2021-10-21,200
"10",10,2054,2054,2021-10-22,213
"11",11,2094,2266,2021-10-23,212
"12",12,2116,2480,2021-10-24,214
"13",13,2164,2754,2021-10-25,274
"14",14,2281,3046,2021-10-26,292
"15",15,2387,3328,2021-10-27,282
"16",16,2439,3616,2021-10-28,288
"17",17,2495,3894,2021-10-29,278
"18",18,2586,4227,2021-10-30,333
"19",19,2659,4500,2021-10-31,273
"20",20,2855,4909,2021-11-01,409
"21",21,3104,5370,2021-11-02,461
"22",22,3330,5810,2021-11-03,440
"23",23,3432,6186,2021-11-04,376
"24",24,3543,6589,2021-11-05,403
"25",25,3637,6965,2021-11-06,376
"26",26,3722,7338,2021-11-07,373
"27",27,3944,7838,2021-11-08,500
"28",28,4107,8334,2021-11-09,496
"29",29,4300,8800,2021-11-10,466
"30",30,4369,9278,2021-11-11,478
"31",31,4402,9772,2021-11-12,494
"32",32,4434,10244,2021-11-13,472
"33",33,4547,10733,2021-11-14,489
"34",34,4802,11391,2021-11-15,658
"35",35,5006,11971,2021-11-16,580
"36",36,5114,12452,2021-11-17,481
"37",37,5091,12929,2021-11-18,477
"38",38,5136,13470,2021-11-19,541
"39",39,5176,13976,2021-11-20,506
"40",40,5135,14413,2021-11-21,437
"41",41,5117,14889,2021-11-22,476
"42",42,5131,15375,2021-11-23,486
"43",43,5083,15816,2021-11-24,441
"44",44,4823,16214,2021-11-25,398
"45",45,4646,16617,2021-11-26,403
"46",46,4556,17008,2021-11-27,391
"47",47,4384,17313,2021-11-28,305
"48",48,4248,17718,2021-11-29,405
"49",49,4159,18135,2021-11-30,417
"50",50,4164,18577,2021-12-01,442
"51",51,4011,18900,2021-12-02,323
"52",52,3854,19229,2021-12-03,329
"53",53,3711,19527,2021-12-04,298
"54",54,3575,19789,2021-12-05,262
"55",55,3501,20118,2021-12-06,329
"56",56,3376,20384,2021-12-07,266
"57",57,3324,20637,2021-12-08,253
"58",58,3117,20835,2021-12-09,198
"59",59,2951,21086,2021-12-10,251
"60",60,2694,21271,2021-12-11,185
"61",61,2564,21464,2021-12-12,193
"62",62,2474,21703,2021-12-13,239
"63",63,2407,21934,2021-12-14,231
"64",64,2355,22144,2021-12-15,210
"65",65,2195,22313,2021-12-16,169
"66",66,2104,22488,2021-12-17,175
"67",67,2038,22675,2021-12-18,187
"68",68,2014,22849,2021-12-19,174
"69",69,1977,23063,2021-12-20,214
"70",70,1981,23252,2021-12-21,189
"71",71,1967,23431,2021-12-22,179
"72",72,1962,23665,2021-12-23,234
"73",73,1968,23902,2021-12-24,237
"74",74,2000,24144,2021-12-25,242
"75",75,2112,24425,2021-12-26,281
"76",76,2328,24816,2021-12-27,391
"77",77,2493,25168,2021-12-28,352
"78",78,2650,25499,2021-12-29,331
"79",79,2771,25834,2021-12-30,335
"80",80,2900,26152,2021-12-31,318
"81",81,3191,26622,2022-01-01,470
"82",82,3547,27212,2022-01-02,590
"83",83,4149,28051,2022-01-03,839
"84",84,4550,28694,2022-01-04,643
